"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US55073","Marathon County, Wisconsin","127751","227","116556","1050","2005","743","157","184","1427","575","453","254","137","92","83","105","0","145","42","81","207","320","6653","433","31","34"
"0500000US55079","Milwaukee County, Wisconsin","887325","*****","741276","5261","89322","4022","1941","701","6329","1530","7735","2105","9207","2404","804","596","3088","934","3476","2148","1712","832","15021","2288","7414","2462"
"0500000US55087","Outagamie County, Wisconsin","170761","392","158573","1568","5923","1107","221","238","533","417","56","75","588","595","0","145","511","346","0","145","0","145","3790","1060","566","482"
"0500000US55097","Portage County, Wisconsin","66872","305","62658","1099","1096","492","97","98","148","106","304","186","19","35","0","145","102","96","0","145","0","145","2061","913","387","331"
"0500000US55101","Racine County, Wisconsin","182900","364","166354","2873","12984","2591","113","134","306","191","526","363","1583","750","41","67","36","66","0","145","91","125","385","296","481","364"
"0500000US55105","Rock County, Wisconsin","151395","246","138770","1221","10042","1052","247","209","867","393","256","220","238","225","0","145","174","226","0","145","83","115","653","611","65","89"
"0500000US55127","Walworth County, Wisconsin","98393","90","88675","1319","7609","1104","39","41","330","262","535","334","487","320","0","145","333","247","94","157","60","58","215","163","16","28"
"0500000US55133","Waukesha County, Wisconsin","375211","272","348076","2650","9476","1586","718","357","2374","812","1755","660","6515","1763","35","66","1634","902","436","457","496","419","2508","842","1188","580"
"0500000US55139","Winnebago County, Wisconsin","160193","625","151489","1909","3469","1041","147","161","676","332","242","248","1574","1209","0","145","251","221","0","145","190","212","2018","969","137","204"
"0500000US55141","Wood County, Wisconsin","69527","291","66249","784","998","290","39","48","582","507","64","69","363","327","0","145","0","145","68","115","0","145","995","365","169","156"
"0500000US01069","Houston County, Alabama","97696","72","93231","1041","3238","981","132","102","359","234","45","73","335","169","57","66","14","23","87","90","10","16","21","35","167","110"
"0500000US01073","Jefferson County, Alabama","617463","5","582234","2721","20420","1726","1464","841","1213","719","848","703","2959","1563","616","494","2660","979","1123","1049","71","116","1853","908","2002","1027"
"0500000US01081","Lee County, Alabama","145268","412","132446","2288","5507","1338","378","284","943","678","189","302","478","412","1856","912","890","794","787","1058","96","128","406","401","1292","1078"
"0500000US01089","Madison County, Alabama","329811","253","307726","2153","11163","1693","778","803","1847","719","692","485","1232","504","1878","1344","1486","842","417","435","284","234","1248","757","1060","797"
"0500000US01097","Mobile County, Alabama","387888","340","367679","2265","9205","1739","413","350","701","446","230","189","1020","659","116","192","753","666","2449","1008","1692","1236","1641","991","1989","965"
"0500000US01101","Montgomery County, Alabama","211165","236","201214","1267","4231","918","705","519","28","48","48","80","1112","839","1820","948","740","589","0","189","10","17","1099","1074","158","243"
"0500000US01125","Tuscaloosa County, Alabama","190093","902","181610","1666","5062","1723","97","101","291","260","0","189","1087","672","182","284","1157","699","0","189","0","189","79","125","528","465"
"0500000US02020","Anchorage Municipality, Alaska","279223","815","227727","5193","12871","2274","1493","766","1111","532","1454","776","1831","1064","3843","1192","562","455","537","741","7763","1632","12851","2624","7180","2905"
"0500000US02090","Fairbanks North Star Borough, Alaska","92311","463","83123","1811","2852","1135","718","733","955","708","1142","1062","246","282","299","282","0","145","0","145","863","445","423","386","1690","787"
"0500000US02170","Matanuska-Susitna Borough, Alaska","90935","181","82679","1985","1678","501","99","96","525","396","2709","1730","509","640","275","186","335","386","0","145","261","193","162","157","1703","633"
"0500000US04003","Cochise County, Arizona","118854","448","82765","2443","31316","2093","26","34","1742","924","41","56","240","220","523","350","0","200","333","385","1120","603","225","188","523","258"
"0500000US04013","Maricopa County, Arizona","3814673","*****","2809781","15289","772787","12838","12656","2637","13359","2518","19592","3554","45572","5659","7156","2059","21352","2608","19110","4358","18236","3438","29175","4007","45897","5469"
"0500000US04015","Mohave County, Arizona","193918","505","168613","3484","20383","3346","202","191","1457","670","78","82","869","674","0","200","525","524","159","279","186","177","210","229","1236","423"
"0500000US04019","Pima County, Arizona","945013","5","670620","8539","228888","7675","2395","862","5023","1301","4224","1838","7351","2365","639","548","5099","1280","3905","1388","1660","682","4702","1402","10507","2413"
"0500000US04021","Pinal County, Arizona","377296","386","305338","4743","63166","4592","690","378","525","392","519","360","1137","748","145","209","276","308","527","386","1303","825","1502","1186","2168","984"
"0500000US04025","Yavapai County, Arizona","209276","647","186108","2899","17994","2504","1071","641","1158","620","419","355","1447","689","184","278","8","16","120","209","88","152","290","366","389","317"
"0500000US04027","Yuma County, Arizona","187849","413","87591","3466","96404","3306","288","264","416","290","151","174","85","118","430","378","97","164","601","664","68","131","730","618","988","579"
"0500000US05007","Benton County, Arkansas","224932","536","195597","2930","22522","2855","375","323","311","258","0","190","1422","914","124","201","784","711","327","381","294","268","3079","1057","97","137"
"0500000US05119","Pulaski County, Arkansas","365374","269","334961","3032","18512","2675","736","366","458","367","758","558","1817","1210","854","838","2240","1043","540","415","1227","1186","1557","681","1714","1200"
"0500000US06001","Alameda County, California","1512891","176","840410","11835","256236","7435","8509","2021","5831","1570","8809","1820","89120","6364","14828","3229","122757","8023","30533","4973","56352","5836","56939","6136","22567","4720"
"0500000US06007","Butte County, California","212556","275","181814","3007","20027","2471","202","214","766","467","338","364","1884","864","76","120","485","343","61","84","855","604","5376","1253","672","462"
"0500000US06013","Contra Costa County, California","1046737","381","690561","10192","187684","6929","5568","1854","2902","783","10299","2958","39078","5458","7545","2472","32712","4191","6332","2102","33925","4530","20283","3392","9848","3068"
"0500000US06017","El Dorado County, California","175128","513","150581","2909","15197","2220","445","404","959","541","421","387","4737","1702","106","184","1060","1121","421","337","193","199","448","452","560","687"
"0500000US06019","Fresno County, California","885940","489","479129","10829","307054","9752","731","412","1434","635","2253","1020","31308","4751","452","267","4123","1187","3580","2120","6998","2077","40310","4472","8568","3445"
"0500000US06023","Humboldt County, California","127002","631","112645","1883","10000","1511","156","153","329","233","100","141","699","405","162","207","465","513","194","286","681","667","845","675","726","434"
"0500000US06029","Kern County, California","801338","253","453690","7963","309815","6888","978","639","1197","479","943","780","10050","3095","1448","826","4006","1909","1442","881","6955","2078","7924","2588","2890","1120"
"0500000US06031","Kings County, California","138685","324","86683","4157","46085","3575","0","200","44","73","124","202","999","691","7","13","632","439","433","447","2104","771","800","554","774","653"
"0500000US06037","Los Angeles County, California","9472263","*****","4091938","33959","3734347","23620","41675","3866","30627","2366","66227","5905","370517","15536","184128","9880","364676","11524","84777","8122","230407","11817","168891","9193","104053","8813"
"0500000US06041","Marin County, California","248110","389","187735","3790","34999","2694","3445","1288","3487","1031","2059","1054","8694","2088","703","476","2401","708","1247","589","851","735","1687","821","802","819"
"0500000US06045","Mendocino County, California","82587","106","63281","1209","16785","1030","302","260","232","192","196","252","1006","562","0","200","223","289","0","200","287","217","117","223","158","121"
"0500000US06047","Merced County, California","245255","340","118057","4795","107913","4230","229","237","119","109","0","200","6952","2195","100","145","1144","839","126","181","1729","758","8687","2056","199","185"
"0500000US06053","Monterey County, California","398076","616","184803","5499","188914","5171","659","364","1054","471","792","445","4378","1111","1831","701","1571","766","1544","728","4806","1259","4871","1307","2853","1413"
